IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpMinutesRounded,Notional Cost (£),NumCalls
000017-01012024,2024-01-01,2024,00:09:08,0,Fire,Secondary Fire,,Outdoor,Domestic garden (vegetation not equipment) ,On land associated with building,W4 3ET,W4,100022000000.0,21500176,E09000018,HOUNSLOW,Hounslow,E05013610,CHISWICK HOMEFIELDS,CHISWICK HOMEFIELDS,520611.0,177276.0,520650,177250,51.48159478,-0.264465912,London,Chiswick,240.0,Chiswick,,,1.0,1.0,1,60,388,2.0
000600-01012024,2024-01-01,2024,17:29:11,17,Fire,Secondary Fire,,Outdoor,Domestic garden (vegetation not equipment) ,On land associated with building,CR0 7PL,CR0,100021000000.0,20500590,E09000008,CROYDON,Croydon,E05011482,SHIRLEY NORTH,SHIRLEY NORTH,535561.0,166636.0,535550,166650,51.38259676,-0.053364412,London,Woodside,498.0,Beckenham,,,1.0,1.0,1,60,388,1.0
000592-01012024,2024-01-01,2024,17:10:20,17,Fire,Secondary Fire,,Outdoor,Domestic garden (vegetation not equipment) ,On land associated with building,UB7 9NY,UB7,100022000000.0,21400880,E09000017,HILLINGDON,Hillingdon,E05013581,WEST DRAYTON,WEST DRAYTON,506519.0,179451.0,506550,179450,51.50397109,-0.466658097,London,Hayes,339.0,Hayes,463.0,Heathrow,2.0,2.0,2,60,388,1.0
000571-01012024,2024-01-01,2024,16:00:40,16,Fire,Secondary Fire,,Outdoor,Tree scrub ,Open land/water - nearest gazetteer location,DA14 5NE,DA14,100020000000.0,20101462,E09000004,BEXLEY,Bexley,E05011229,ST. MARY'S & ST. JAMES,ST. MARY'S & ST. JAMES,548066.0,171500.0,548050,171550,51.42318426,0.128232679,London,Sidcup,464.0,Sidcup,,,1.0,1.0,1,60,388,1.0
000260-01012024,2024-01-01,2024,02:31:55,2,Fire,Secondary Fire,,Outdoor,Playground/Recreation area (not equipment),On land associated with building,E1 4HP,E1,6035337.0,22700771,E09000030,TOWER HAMLETS,Tower Hamlets,E05009317,BETHNAL GREEN,BETHNAL GREEN,535194.0,182347.0,535150,182350,51.52387038,-0.052632419,London,Bethnal Green,333.0,Bethnal Green,,,1.0,1.0,1,60,388,1.0
000244-01012024,2024-01-01,2024,02:06:26,2,Fire,Secondary Fire,,Outdoor,Domestic garden (vegetation not equipment) ,On land associated with building,E6 6DT,E6,46075743.0,22201161,E09000025,NEWHAM,Newham,E05013910,EAST HAM SOUTH,EAST HAM SOUTH,542973.0,182976.0,542950,182950,51.52760624,0.05967149,London,East Ham,181.0,East Ham,,,1.0,1.0,1,60,388,1.0
000230-01012024,2024-01-01,2024,01:38:11,1,Fire,Secondary Fire,,Outdoor,Park ,In street close to gazetteer location,TW4 7QG,TW4,10094941472.0,21500054,E09000018,HOUNSLOW,Hounslow,E05013612,CRANFORD,CRANFORD,511035.0,176381.0,511050,176350,51.47550417,-0.402589338,London,Feltham,570.0,Hayes,,,1.0,1.0,1,60,388,1.0
000187-01012024,2024-01-01,2024,01:05:19,1,Fire,Secondary Fire,,Outdoor,Park ,In street close to gazetteer location,HA5 5PJ,HA5,100023000000.0,21201766,E09000015,HARROW,Harrow,E05013555,PINNER,PINNER,512237.0,189607.0,512250,189650,51.59415052,-0.381069878,London,Harrow,451.0,Harrow,,,1.0,1.0,1,60,388,1.0
000178-01012024,2024-01-01,2024,01:03:01,1,Fire,Secondary Fire,,Outdoor,Park ,Open land/water - nearest gazetteer location,E6 5PF,E6,10009003646.0,22201034,E09000025,NEWHAM,Newham,E05013904,BECKTON,BECKTON,542745.0,181088.0,542750,181050,51.51069562,0.055622891,London,East Ham,226.0,East Ham,,,1.0,1.0,1,60,388,1.0
000146-01012024,2024-01-01,2024,00:51:51,0,Fire,Secondary Fire,,Outdoor,Park ,On land associated with building,E10 7LY,E10,200001000000.0,22873900,E09000031,WALTHAM FOREST,Waltham Forest,E05013895,LEA BRIDGE,LEA BRIDGE,536928.0,186959.0,536950,186950,51.56490053,-0.025858667,London,Leyton,463.0,Homerton,,,1.0,1.0,1,60,388,1.0
