IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpMinutesRounded,Notional Cost (£),NumCalls
000009-01012016,2016-01-01,2016,00:10:18,0,Fire,Secondary Fire,,Outdoor,Domestic garden (vegetation not equipment) ,On land associated with building,E3 2JJ,E3,6154511.0,22701344,E09000030,TOWER HAMLETS,Tower Hamlets,E05009319,Bow East,Bow East,537283.0,183793.0,537250,183750,51.53635605,-0.021982172,London,Homerton,342.0,Homerton,,,1.0,1.0,1,60,298,1.0
000080-01012016,2016-01-01,2016,00:48:36,0,Fire,Secondary Fire,,Outdoor,Hedge,On land associated with building,SW19 8QN,SW19,48038798.0,22103598,E09000024,MERTON,Merton,E05013829,Wimbledon Town & Dundonald,Wimbledon Town & Dundonald,525130.0,170584.0,525150,170550,51.42046594,-0.20178772,London,Wimbledon,,,,,1.0,1.0,1,60,298,1.0
000094-01012016,2016-01-01,2016,01:06:42,1,Fire,Secondary Fire,,Outdoor,Wasteland ,On land associated with building,TW13 4LP,TW13,100021530870.0,21500920,E09000018,HOUNSLOW,Hounslow,E05013614,Feltham West,Feltham West,509663.0,172905.0,509650,172950,51.44452823,-0.423417561,London,Feltham,422.0,Feltham,,,1.0,1.0,1,60,298,1.0
000129-01012016,2016-01-01,2016,02:17:14,2,Fire,Secondary Fire,,Outdoor,Hedge,In street outside gazetteer location,TW4 5JX,TW4,10091691396.0,21501181,E09000018,HOUNSLOW,Hounslow,E05013622,Hounslow Heath,Hounslow Heath,513176.0,174394.0,513150,174350,51.45722082,-0.372414249,London,Heston,259.0,Heston,,,1.0,1.0,1,60,298,1.0
000139-01012016,2016-01-01,2016,02:34:51,2,Fire,Secondary Fire,,Outdoor,Tree scrub ,Open land/water - nearest gazetteer location,TW12 3JX,TW12,100022277414.0,22401321,E09000027,RICHMOND UPON THAMES,Richmond Upon thames,E05013779,Hampton North,Hampton North,512628.0,171286.0,512650,171250,51.42939584,-0.38128609,London,Twickenham,579.0,Twickenham,,,1.0,1.0,1,175,869,1.0
000401-01012016,2016-01-01,2016,18:42:55,18,Fire,Secondary Fire,,Outdoor,Domestic garden (vegetation not equipment) ,On land associated with building,UB7 8PB,UB7,100021510225.0,21402236,E09000017,HILLINGDON,Hillingdon,E05013584,Yiewsley,Yiewsley,506302.0,180840.0,506350,180850,51.51649197,-0.469375406,London,Hillingdon,309.0,Hillingdon,317.0,Hillingdon,1.0,2.0,2,60,298,3.0
000472-01012016,2016-01-01,2016,21:39:38,21,Fire,Secondary Fire,,Outdoor,Park ,Open land/water - nearest gazetteer location,E2 0SN,E2,6151015.0,22701289,E09000030,TOWER HAMLETS,Tower Hamlets,E05009317,Bethnal Green,Bethnal Green,535881.0,182852.0,535850,182850,51.52823865,-0.04254701,London,Bethnal Green,281.0,Bethnal Green,,,1.0,1.0,1,60,298,1.0
000602-02012016,2016-01-02,2016,12:12:12,12,Fire,Secondary Fire,,Outdoor,Domestic garden (vegetation not equipment) ,Correct incident location,RM8 3PA,RM8,100002100.0,19900030,E09000002,BARKING AND DAGENHAM,Barking And dagenham,E05014069,Valence,Valence,548333.0,186803.0,548350,186850,51.56060817,0.138492199,London,Dagenham,331.0,Ilford,,,1.0,1.0,1,60,298,1.0
000668-02012016,2016-01-02,2016,16:24:40,16,Fire,Secondary Fire,,Outdoor,Park ,Correct incident location,SM1 3HH,SM1,5870040508.0,22600958,E09000029,SUTTON,Sutton,E05013766,Sutton North,Sutton North,525702.0,166076.0,525750,166050,51.37982504,-0.195160928,London,Sutton,442.0,Sutton,,,1.0,1.0,1,60,298,1.0
000702-02012016,2016-01-02,2016,18:17:07,18,Fire,Secondary Fire,,Outdoor,Park ,Open land/water - nearest gazetteer location,RM13 8PR,RM13,10025545057.0,21300828,E09000016,HAVERING,Havering,E05013967,Beam Park,Beam Park,550472.0,183590.0,550450,183550,51.53117324,0.167954418,London,Wennington,,,,,1.0,1.0,1,60,298,1.0
