IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpMinutesRounded,Notional Cost (£),NumCalls
4151.0,2015-01-01,2015,00:03:05,0,Fire,Secondary Fire,,Outdoor,Hedge,Correct incident location,EN2 0EW,EN2,207116635.0,20702538.0,E09000010,ENFIELD,Enfield,E05013695,Whitewebbs,Whitewebbs,532655.0,198115.0,532650,198150,51.66616417,-0.083258307,London,Enfield,404.0,Enfield,,,1.0,1.0,1,60,295,3.0
8151.0,2015-01-01,2015,00:04:40,0,Fire,Secondary Fire,,Outdoor,Domestic garden (vegetation not equipment) ,On land associated with building,W7 1NP,W7,12061941.0,20600908.0,E09000009,EALING,Ealing,E05013529,North Hanwell,North Hanwell,515603.0,181226.0,515650,181250,51.5181358,-0.335261991,London,Ealing,299.0,Ealing,,,1.0,1.0,1,60,295,2.0
315151.0,2015-01-01,2015,14:32:24,14,Fire,Secondary Fire,,Outdoor,Tree scrub ,On land associated with building,SE9 2JG,SE9,10010231393.0,20801259.0,E09000011,GREENWICH,Greenwich,E05014079,Eltham Town & Avery Hill,Eltham Town & Avery Hill,545180.0,174136.0,545150,174150,51.44760785,0.08783004,London,Eltham,255.0,Eltham,,,1.0,1.0,1,60,295,2.0
787151.0,2015-01-02,2015,16:37:14,16,Fire,Secondary Fire,,Outdoor,Domestic garden (vegetation not equipment) ,On land associated with building,NW1 8DS,NW1,5025091.0,20400488.0,E09000007,CAMDEN,Camden,E05013660,Haverstock,Haverstock,528577.0,184586.0,528550,184550,51.54553145,-0.147147166,London,Kentish Town,176.0,Kentish Town,197.0,Kentish Town,1.0,2.0,2,60,295,1.0
816151.0,2015-01-02,2015,18:07:08,18,Fire,Secondary Fire,,Outdoor,Park ,Open land/water - nearest gazetteer location,BR3 4BS,BR3,,,E09000006,BROMLEY,Bromley,E05013999,Kelsey & Eden Park,Kelsey & Eden Park,535959.0,167978.0,535950,167950,51.39455566,-0.047138414,London,Woodside,365.0,Beckenham,,,1.0,1.0,1,60,295,1.0
837151.0,2015-01-02,2015,18:47:10,18,Fire,Secondary Fire,,Outdoor,Playground/Recreation area (not equipment),Open land/water - nearest gazetteer location,DA8 3AT,DA8,,,E09000004,BEXLEY,Bexley,E05011225,Erith,Erith,551236.0,177418.0,551250,177450,51.47551337,0.176314926,London,Erith,272.0,Erith,,,1.0,1.0,1,60,295,1.0
851151.0,2015-01-02,2015,19:13:06,19,Fire,Secondary Fire,,Outdoor,Hedge,In street outside gazetteer location,BR5 3LW,BR5,,,E09000006,BROMLEY,Bromley,E05014006,St. Mary Cray,St. Mary Cray,547906.0,168298.0,547950,168250,51.39444603,0.124595073,London,Orpington,798.0,Orpington,,,1.0,1.0,1,60,295,1.0
974151.0,2015-01-03,2015,01:44:14,1,Fire,Secondary Fire,,Outdoor,Park ,Open land/water - nearest gazetteer location,SM4 5QQ,SM4,,,E09000024,MERTON,Merton,E05013819,Lower Morden,Lower Morden,525144.0,166842.0,525150,166850,51.38683247,-0.202905154,London,Sutton,384.0,Sutton,,,1.0,1.0,1,60,295,1.0
982151.0,2015-01-03,2015,02:06:33,2,Fire,Secondary Fire,,Outdoor,Domestic garden (vegetation not equipment) ,On land associated with building,UB5 5LG,UB5,12034074.0,20600158.0,E09000009,EALING,Ealing,E05013532,Northolt West End,Northolt West End,512055.0,183741.0,512050,183750,51.54145464,-0.385576704,London,Northolt,358.0,Northolt,447.0,Northolt,1.0,2.0,2,60,295,1.0
1192151.0,2015-01-03,2015,16:37:07,16,Fire,Secondary Fire,,Outdoor,Grassland/ pasture/ grazing etc ,Open land/water - nearest gazetteer location,SM5 4AQ,SM5,,,E09000029,SUTTON,Sutton,E05013757,Carshalton South & Clockhouse,Carshalton South & Clockhouse,527529.0,162222.0,527550,162250,51.34478117,-0.170303764,London,Wallington,497.0,Wallington,,,1.0,1.0,1,60,295,1.0
1656151.0,2015-01-04,2015,20:14:17,20,Fire,Secondary Fire,,Outdoor,Domestic garden (vegetation not equipment) ,Correct incident location,CR2 0PE,CR2,100020685192.0,20502318.0,E09000008,CROYDON,Croydon,E05011484,South Croydon,South Croydon,532591.0,163248.0,532550,163250,51.35284538,-0.097283156,London,Croydon,251.0,Croydon,255.0,Croydon,2.0,3.0,3,60,295,1.0
1406151.0,2015-01-04,2015,07:59:25,7,Fire,Secondary Fire,,Outdoor,Animal harm outdoors,Correct incident location,SE18 5JY,SE18,10010229469.0,20800145.0,E09000011,GREENWICH,Greenwich,E05014094,Woolwich Dockyard,Woolwich Dockyard,542728.0,178904.0,542750,178950,51.49107488,0.054493277,London,East Greenwich,239.0,East Greenwich,291.0,East Greenwich,1.0,2.0,2,119,585,1.0
1336151.0,2015-01-04,2015,00:04:22,0,Fire,Secondary Fire,,Outdoor,Tree scrub ,In street outside gazetteer location,E1 0PU,E1,,,E09000030,TOWER HAMLETS,Tower Hamlets,E05009334,Stepney Green,Stepney Green,535621.0,181350.0,535650,181350,51.51480379,-0.046870742,London,Shadwell,289.0,Shadwell,,,1.0,1.0,1,60,295,1.0
1335151.0,2015-01-04,2015,00:03:16,0,Fire,Secondary Fire,,Outdoor,Tree scrub ,On land associated with building,W3 9LA,W3,12142724.0,20602382.0,E09000009,EALING,Ealing,E05013536,South Acton,South Acton,519932.0,180235.0,519950,180250,51.50832799,-0.273237232,London,Acton,114.0,Acton,,,1.0,1.0,1,60,295,1.0
1903151.0,2015-01-05,2015,14:39:58,14,Fire,Secondary Fire,,Outdoor,Domestic garden (vegetation not equipment) ,On land associated with building,NW2 3TL,NW2,5107425.0,20400109.0,E09000007,CAMDEN,Camden,E05013656,Fortune Green,Fortune Green,524624.0,185026.0,524650,185050,51.55037167,-0.20396812,London,West Hampstead,236.0,West Hampstead,370.0,Willesden,2.0,2.0,2,62,305,1.0
2004151.0,2015-01-05,2015,18:52:20,18,Fire,Secondary Fire,,Outdoor,Tree scrub ,In street outside gazetteer location,W13 0SU,W13,,,E09000009,EALING,Ealing,E05013525,Hanwell Broadway,Hanwell Broadway,516575.0,180415.0,516550,180450,51.51064725,-0.321527579,London,Ealing,175.0,Ealing,,,1.0,1.0,1,60,295,1.0
2054151.0,2015-01-05,2015,20:48:54,20,Fire,Secondary Fire,,Outdoor,Park ,Open land/water - nearest gazetteer location,SW17 7RP,SW17,,,E09000032,WANDSWORTH,Wandsworth,E05014025,Trinity,Trinity,527746.0,173371.0,527750,173350,51.44493062,-0.163180807,London,Tooting,190.0,Tooting,,,1.0,1.0,1,60,295,1.0
2208151.0,2015-01-06,2015,09:55:16,9,Fire,Secondary Fire,,Outdoor,Wasteland ,Within same building,KT3 3HT,KT3,100021775532.0,21800370.0,E09000021,KINGSTON UPON THAMES,Kingston Upon thames,E05013933,Coombe Vale,Coombe Vale,520744.0,169053.0,520750,169050,51.4076566,-0.265356752,London,New Malden,,,,,1.0,1.0,1,60,295,1.0
2351151.0,2015-01-06,2015,16:55:10,16,Fire,Secondary Fire,,Outdoor,Landfill site ,Nearby address - street not listed in gazetteer,UB7 0AE,UB7,,,E09000017,HILLINGDON,Hillingdon,E05013570,Heathrow Villages,Heathrow Villages,506881.0,178100.0,506850,178150,51.49175496,-0.461864232,London,Hayes,623.0,Hillingdon,649.0,Hayes,2.0,2.0,3,694,3412,1.0
2488151.0,2015-01-07,2015,01:10:16,1,Fire,Secondary Fire,,Outdoor,Tree scrub ,In street outside gazetteer location,W7 2AA,W7,,,E09000009,EALING,Ealing,E05013530,Northfield,Northfield,515954.0,179466.0,515950,179450,51.50224549,-0.330784136,London,Ealing,272.0,Ealing,,,1.0,1.0,1,60,295,4.0
2691151.0,2015-01-07,2015,16:26:15,16,Fire,Secondary Fire,,Outdoor,Railway trackside vegetation ,Open land/water - nearest gazetteer location,UB2 4SE,UB2,,,E09000009,EALING,Ealing,E05013533,Norwood Green,Norwood Green,513410.0,179892.0,513450,179850,51.50659001,-0.367283853,London,Southall,446.0,Southall,451.0,Southall,1.0,2.0,2,88,433,2.0
2702151.0,2015-01-07,2015,16:43:47,16,Fire,Secondary Fire,,Outdoor,Hedge,Open land/water - nearest gazetteer location,HA7 4WN,HA7,,,E09000015,HARROW,Harrow,E05013560,Stanmore,Stanmore,516373.0,193812.0,516350,193850,51.6310971,-0.320002793,London,Stanmore,482.0,Stanmore,,,1.0,1.0,1,60,295,1.0
3191151.0,2015-01-08,2015,20:35:59,20,Fire,Secondary Fire,,Outdoor,Playground/Recreation area (not equipment),Open land/water - nearest gazetteer location,SW8 3TP,SW8,,,E09000032,WANDSWORTH,Wandsworth,E05014019,Shaftesbury & Queenstown,Shaftesbury & Queenstown,528748.0,176118.0,528750,176150,51.46939124,-0.147771864,London,Clapham,196.0,Clapham,,,1.0,1.0,1,60,295,1.0
3379151.0,2015-01-09,2015,11:44:17,11,Fire,Secondary Fire,,Outdoor,Domestic garden (vegetation not equipment) ,Correct incident location,E11 4DU,E11,100022516689.0,22812000.0,E09000031,WALTHAM FOREST,Waltham Forest,E05013888,Grove Green,Grove Green,538778.0,186706.0,538750,186750,51.56216705,0.000707157,London,Leytonstone,308.0,Leytonstone,392.0,Leyton,2.0,2.0,2,60,295,1.0
4008151.0,2015-01-10,2015,17:37:44,17,Fire,Secondary Fire,,Outdoor,Hedge,Correct incident location,N1 2QL,N1,5300052336.0,21606853.0,E09000019,ISLINGTON,Islington,E05013701,Canonbury,Canonbury,532327.0,184613.0,532350,184650,51.54490777,-0.0930889,London,Islington,436.0,Islington,,,1.0,1.0,1,60,295,1.0
4097151.0,2015-01-10,2015,22:05:51,22,Fire,Secondary Fire,,Outdoor,Domestic garden (vegetation not equipment) ,Correct incident location,UB8 2NF,UB8,100021498056.0,21402061.0,E09000017,HILLINGDON,Hillingdon,E05013580,Uxbridge,Uxbridge,505489.0,183335.0,505450,183350,51.53907018,-0.480341085,London,Hillingdon,306.0,Hillingdon,556.0,Hillingdon,2.0,3.0,3,110,541,1.0
4131151.0,2015-01-10,2015,23:47:25,23,Fire,Secondary Fire,,Outdoor,Domestic garden (vegetation not equipment) ,Correct incident location,E15 4HW,E15,46030577.0,22201428.0,E09000025,NEWHAM,Newham,E05013927,West Ham,West Ham,539498.0,184133.0,539450,184150,51.53886877,0.010067783,London,Stratford,163.0,Stratford,164.0,Stratford,2.0,2.0,2,60,295,1.0
4180151.0,2015-01-11,2015,02:41:03,2,Fire,Secondary Fire,,Outdoor,Tree scrub ,In street outside gazetteer location,SW9 8SE,SW9,,,E09000022,LAMBETH,Lambeth,E05014098,Brixton Windrush,Brixton Windrush,531657.0,175556.0,531650,175550,51.46367194,-0.106123586,London,Brixton,164.0,Brixton,,,1.0,1.0,1,60,295,2.0
