IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpMinutesRounded,Notional Cost (£),NumCalls
000005-01012021,2021-01-01,2021,00:07:46,0,Fire,Secondary Fire,,Outdoor,Tree scrub ,Open land/water - nearest gazetteer location,IG8 0EG,IG8,100023000000.0,22304992,E09000026,REDBRIDGE,Redbridge,E05011249,MONKHAMS,MONKHAMS,540703.0,191739.0,540750,191750,51.60692321,0.030486398,London,Woodford,250.0,Woodford,,,1.0,1.0,1,60,346,1
000549-01012021,2021-01-01,2021,21:41:09,21,Fire,Secondary Fire,,Outdoor,Domestic garden (vegetation not equipment) ,On land associated with building,RM3 7HA,RM3,100021000000.0,21301272,E09000016,HAVERING,Havering,E05013975,Heaton,Heaton,553080.0,191262.0,553050,191250,51.59940706,0.208873576,London,Harold Hill,265.0,Harold Hill,,,1.0,1.0,1,60,346,1
000413-01012021,2021-01-01,2021,16:30:29,16,Fire,Secondary Fire,,Outdoor,Golf course (not building on course),Open land/water - nearest gazetteer location,RM4 1NB,RM4,10023771106.0,22390134,E09000026,REDBRIDGE,Redbridge,E05011245,HAINAULT,HAINAULT,548004.0,193603.0,548050,193650,51.6217942,0.136615141,London,Hainault,414.0,Hainault,,,1.0,1.0,1,60,346,1
000358-01012021,2021-01-01,2021,13:31:04,13,Fire,Secondary Fire,,Outdoor,Park ,On land associated with building,W1D 3RR,W1D,10033553703.0,8401018,E09000033,WESTMINSTER,Westminster,E05013808,West End,West End,529672.0,181244.0,529650,181250,51.51525471,-0.132591893,London,Soho,151.0,Soho,,,1.0,1.0,1,60,346,1
000345-01012021,2021-01-01,2021,13:00:46,13,Fire,Secondary Fire,,Outdoor,Domestic garden (vegetation not equipment) ,On land associated with building,HA0 4ES,HA0,202101579.0,20201459,E09000005,BRENT,Brent,E05013496,Alperton,Alperton,518646.0,184166.0,518650,184150,51.54393225,-0.290426591,London,Wembley,347.0,Wembley,443.0,Park Royal,2.0,2.0,2,60,346,1
000402-01012021,2021-01-01,2021,16:00:18,16,Fire,Secondary Fire,,Outdoor,Other outdoor location ,In street outside gazetteer location,EN2 9JE,EN2,207179044.0,20702980,E09000010,ENFIELD,Enfield,E05013695,Whitewebbs,Whitewebbs,531564.0,198986.0,531550,198950,51.674256,-0.098693825,London,Enfield,378.0,Enfield,,,1.0,1.0,1,60,346,1
000283-01012021,2021-01-01,2021,10:31:19,10,Fire,Secondary Fire,,Outdoor,Tree scrub ,Open land/water - nearest gazetteer location,SM6 7NN,SM6,10025614748.0,22605812,E09000029,SUTTON,Sutton,E05013754,Beddington,Beddington,529317.0,165787.0,529350,165750,51.37642415,-0.143339838,London,Wallington,348.0,Wallington,,,1.0,1.0,1,60,346,2
000141-01012021,2021-01-01,2021,01:54:12,1,Fire,Secondary Fire,,Outdoor,Park ,Open land/water - nearest gazetteer location,CR0 4DN,CR0,10001001975.0,20501995,E09000008,CROYDON,Croydon,E05011487,WADDON,WADDON,531695.0,164576.0,531650,164550,51.36499413,-0.109645057,London,Croydon,242.0,Croydon,,,1.0,1.0,1,60,346,1
000079-01012021,2021-01-01,2021,00:53:24,0,Fire,Secondary Fire,,Outdoor,Park ,On land associated with building,UB6 9HU,UB6,12145383.0,20601120,E09000009,EALING,Ealing,E05013526,Lady Margaret,Lady Margaret,513850.0,182145.0,513850,182150,51.52675745,-0.360215456,London,Southall,521.0,Ealing,,,1.0,1.0,1,60,346,1
000052-01012021,2021-01-01,2021,00:34:37,0,Fire,Secondary Fire,,Outdoor,Hedge,In street outside gazetteer location,TW3 3QG,TW3,100022000000.0,21500323,E09000018,HOUNSLOW,Hounslow,E05013622,Hounslow Heath,Hounslow Heath,513088.0,175226.0,513050,175250,51.46471946,-0.373399997,London,Heston,497.0,Twickenham,,,1.0,1.0,1,60,346,1
000309-01012021,2021-01-01,2021,11:34:51,11,Fire,Secondary Fire,,Outdoor,Cemetery ,Open land/water - nearest gazetteer location,N11 1JJ,N11,200017096.0,20005900,E09000003,BARNET,Barnet,E05013629,Brunswick Park,Brunswick Park,528601.0,193378.0,528650,193350,51.62454318,-0.143576214,London,Southgate,465.0,Southgate,,,1.0,1.0,1,60,346,1
