IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpMinutesRounded,Notional Cost (£),NumCalls
000034-01012022,2022-01-01,2022,00:28:28,0,Fire,Secondary Fire,,Outdoor Structure,Fence,On land associated with building,HA3 7JZ,HA3,100021000000.0,21202421,E09000015,HARROW,Harrow,E05013561,Wealdstone North,Wealdstone North,515880.0,190501.0,515850,190550,51.60144869,-0.328213317,London,Stanmore,302.0,Stanmore,496.0,Harrow,2.0,2.0,2,60,352,2.0
000361-01012022,2022-01-01,2022,11:39:51,11,Fire,Secondary Fire,,Outdoor,Scrub land ,Nearby address - street not listed in gazetteer,E9 5PF,E9,10008329457.0,20900534,E09000012,HACKNEY,Hackney,E05009379,KING'S PARK,KING'S PARK,536983.0,185428.0,536950,185450,51.55112156,-0.025667681,London,Homerton,313.0,Leyton,,,1.0,1.0,1,60,352,1.0
000130-01012022,2022-01-01,2022,01:36:01,1,Fire,Secondary Fire,,Outdoor,Park ,Open land/water - nearest gazetteer location,W12 0AL,W12,34003616.0,21000148,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013736,College Park & Old Oak,College Park & Old Oak,521899.0,181500.0,521850,181550,51.51927807,-0.244467903,London,Acton,477.0,Acton,,,1.0,1.0,1,60,352,1.0
000078-01012022,2022-01-01,2022,00:49:56,0,Fire,Primary Fire,,Outdoor Structure,Other outdoor structures ,On land associated with building,TW5 0TX,TW5,100022000000.0,21519752,E09000018,HOUNSLOW,Hounslow,E05013618,Heston East,Heston East,513788.0,177012.0,513750,177050,51.48062985,-0.362764909,London,Heston,288.0,Heston,,,1.0,1.0,1,182,1068,3.0
000455-01012022,2022-01-01,2022,15:48:23,15,Fire,Secondary Fire,,Outdoor,Straw/stubble burning ,On land associated with building,SE12 0NL,SE12,100023000000.0,22005218,E09000023,LEWISHAM,Lewisham,E05013723,Grove Park,Grove Park,539842.0,173420.0,539850,173450,51.44251798,0.010791613,London,Lee Green,313.0,Lee Green,343.0,Lewisham,2.0,2.0,2,60,352,2.0
000049-01012022,2022-01-01,2022,00:34:22,0,Fire,Secondary Fire,,Outdoor,River/canal ,Open land/water - nearest gazetteer location,E16 2GT,E16,10093130896.0,22208307,E09000025,NEWHAM,Newham,E05013922,Royal Albert,Royal Albert,544061.0,180550.0,544050,180550,51.50553111,0.074355082,London,East Ham,390.0,East Ham,,,1.0,1.0,1,60,352,1.0
000046-01012022,2022-01-01,2022,00:33:35,0,Fire,Secondary Fire,,Outdoor,Park ,Open land/water - nearest gazetteer location,TW10 6HP,TW10,100023000000.0,22403639,E09000027,RICHMOND UPON THAMES,Richmond Upon thames,E05013786,South Richmond,South Richmond,519004.0,174619.0,519050,174650,51.45805693,-0.28848434,London,Richmond,322.0,Richmond,,,1.0,1.0,1,60,352,1.0
000036-01012022,2022-01-01,2022,00:30:53,0,Fire,Secondary Fire,,Outdoor,Other outdoor location ,On land associated with building,SE15 3HN,SE15,200003000000.0,22503008,E09000028,SOUTHWARK,Southwark,E05011108,NUNHEAD & QUEEN'S ROAD,NUNHEAD & QUEEN'S ROAD,535037.0,175943.0,535050,175950,51.46636092,-0.057339483,London,New Cross,169.0,New Cross,281.0,Peckham,4.0,4.0,4,87,510,10.0
000072-01012022,2022-01-01,2022,00:47:51,0,Fire,Secondary Fire,,Outdoor,Park ,Open land/water - nearest gazetteer location,HA1 4QL,HA1,768006321.0,21201394,E09000015,HARROW,Harrow,E05013550,Headstone,Headstone,514652.0,188836.0,514650,188850,51.58673521,-0.346481701,London,Harrow,270.0,Harrow,,,1.0,1.0,1,60,352,1.0
001046-03012022,2022-01-03,2022,05:35:43,5,Fire,Secondary Fire,,Outdoor Structure,Fence,Correct incident location,HA1 4TE,HA1,100021000000.0,21201324,E09000015,HARROW,Harrow,E05013550,Headstone,Headstone,514857.0,188944.0,514850,188950,51.58766167,-0.343479562,London,Harrow,299.0,Harrow,,,1.0,1.0,1,60,352,3.0
