IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpMinutesRounded,Notional Cost (£),NumCalls
1345141.0,2014-01-04,2014,12:42:07,12,Fire,Secondary Fire,,Outdoor,Tree scrub ,Open land/water - nearest gazetteer location,SW11 2PN,SW11,,,E09000032,WANDSWORTH,Wandsworth,E05014012,Falconbrook,Falconbrook,527226.0,176179.0,527250,176150,51.47028334,-0.169650591,London,Battersea,117.0,Battersea,,,1.0,1.0,1,60,290,1.0
1513141.0,2014-01-04,2014,21:30:33,21,Fire,Secondary Fire,,Outdoor,Tree scrub ,In street close to gazetteer location,N18 1UD,N18,,,E09000010,ENFIELD,Enfield,E05013682,Haselbury,Haselbury,533180.0,192505.0,533150,192550,51.61562715,-0.077806526,London,Edmonton,863.0,Edmonton,,,1.0,1.0,1,60,290,1.0
2447141.0,2014-01-07,2014,00:15:32,0,Fire,Secondary Fire,,Outdoor,Tree scrub ,In street outside gazetteer location,SE3 0NJ,SE3,,,E09000011,GREENWICH,Greenwich,E05014073,Blackheath Westcombe,Blackheath Westcombe,540095.0,176756.0,540050,176750,51.472431,0.01574064,London,Lee Green,347.0,Lee Green,,,1.0,1.0,1,60,290,1.0
3020141.0,2014-01-08,2014,16:23:04,16,Fire,Secondary Fire,,Outdoor,Park ,Open land/water - nearest gazetteer location,BR2 9NY,BR2,,,E09000006,BROMLEY,Bromley,E05013990,Bromley Common & Holwood,Bromley Common & Holwood,541468.0,168330.0,541450,168350,51.39637406,0.03213318,London,Bromley,282.0,Bromley,513.0,Beckenham,2.0,3.0,3,60,290,1.0
3189141.0,2014-01-08,2014,23:00:00,23,Fire,Secondary Fire,,Outdoor,Wasteland ,Open land/water - nearest gazetteer location,RM3 7TW,RM3,,,E09000016,HAVERING,Havering,E05013971,Gooshays,Gooshays,553282.0,193553.0,553250,193550,51.61993402,0.212775878,London,Harold Hill,358.0,Harold Hill,,,1.0,1.0,2,299,1445,1.0
3409141.0,2014-01-09,2014,15:37:57,15,Fire,Secondary Fire,,Outdoor,Wasteland ,Correct incident location,CR8 1EG,CR8,100020664231.0,20501955.0,E09000008,CROYDON,Croydon,E05011477,Purley Oaks & Riddlesdown,Purley Oaks & Riddlesdown,532816.0,160569.0,532850,160550,51.32871731,-0.095052095,London,Purley,374.0,Purley,484.0,Croydon,2.0,2.0,2,60,290,3.0
3518141.0,2014-01-09,2014,20:29:39,20,Fire,Secondary Fire,,Outdoor,Hedge,In street close to gazetteer location,N1 3BQ,N1,,,E09000019,ISLINGTON,Islington,E05013701,Canonbury,Canonbury,532592.0,184166.0,532550,184150,51.54082863,-0.089437857,London,Islington,525.0,Holloway,,,1.0,1.0,1,60,290,2.0
3806141.0,2014-01-10,2014,15:20:24,15,Fire,Secondary Fire,,Outdoor,Park ,On land associated with building,TW10 5HR,TW10,10024344879.0,22407048.0,E09000027,RICHMOND UPON THAMES,Richmond Upon thames,E05013775,East Sheen,East Sheen,520681.0,173226.0,520650,173250,51.44517473,-0.264841368,London,Richmond,868.0,Richmond,,,1.0,1.0,1,60,290,2.0
3941141.0,2014-01-10,2014,19:36:31,19,Fire,Secondary Fire,,Outdoor,Tree scrub ,In street close to gazetteer location,SE16 6NR,SE16,,,E09000028,SOUTHWARK,Southwark,E05000552,Surrey Docks,Surrey Docks,536044.0,180210.0,536050,180250,51.5044578,-0.041218148,London,Deptford,446.0,Old Kent Road,,,1.0,1.0,1,60,290,1.0
4123141.0,2014-01-11,2014,10:45:01,10,Fire,Secondary Fire,,Outdoor,Tree scrub ,Open land/water - nearest gazetteer location,NW7 2RW,NW7,,,E09000003,BARNET,Barnet,E05013645,Mill Hill,Mill Hill,522909.0,191904.0,522950,191950,51.61256133,-0.226284767,London,Mill Hill,365.0,Mill Hill,,,1.0,1.0,1,65,314,1.0
